sample_id,video_id,start,end,event_start,event_end,duration,category,onset,offset,type,haveBGM,audio_irrelevant,event_duration,label
25,v0200fg10000ce4o7mrc77ubrp7sgutg,20.0,30.0,0.01,46.23,46.3,353,0.0,10.0,3,0,0,10.0,353
26,v0200fg10000ce4o7mrc77ubrp7sgutg,30.0,40.0,0.01,46.23,46.3,353,0.0,10.0,3,0,0,10.0,353
27,v0200fg10000c87m83jc77u0ovg1g6og,6.0,16.0,11.38,24.84,26.0,359,5.38,10.0,4,0,0,4.62,359
28,v0200fg10000c87m83jc77u0ovg1g6og,16.0,26.0,11.38,24.84,26.0,359,0.0,8.84,2,0,0,8.84,359
29,v0d00fg10000cd9lqtrc77u4unf5o8vg,10.3,20.3,14.49,36.11,44.12,232,4.19,10.0,4,0,0,5.81,232
30,v0d00fg10000cd9lqtrc77u4unf5o8vg,20.3,30.3,14.49,36.11,44.12,232,0.0,10.0,3,0,0,10.0,232
31,v0d00fg10000cd9lqtrc77u4unf5o8vg,30.3,40.3,14.49,36.11,44.12,232,0.0,5.81,2,0,0,5.81,232
32,v0200fg10000cadl65bc77u6qkde1rr0,2.289999999999999,12.29,6.27,18.31,41.15,344,3.98,10.0,4,1,1,6.02,344
33,v0200fg10000cadl65bc77u6qkde1rr0,12.29,22.29,6.27,18.31,41.15,344,0.0,6.02,2,1,1,6.02,344
34,v0300fg10000ccn3kebc77ucudj9oi70,0.0,10.0,0.12,16.92,19.43,29,0.12,10.0,4,1,1,9.88,29
35,v0200fg10000cd4d4brc77uf8a9kate0,5.67,15.67,8.78,13.34,15.67,333,3.11,7.67,1,1,1,4.5600000000000005,333
36,v0300fg10000c45pga3c77ufruchlgt0,0.0,10.0,0.0,30.79,31.49,359,0.0,10.0,4,1,0,10.0,359
37,v0300fg10000c45pga3c77ufruchlgt0,10.0,20.0,0.0,30.79,31.49,359,0.0,10.0,3,1,0,10.0,359
38,v0300fg10000c45pga3c77ufruchlgt0,20.0,30.0,0.0,30.79,31.49,359,0.0,10.0,3,1,0,10.0,359
39,v0300fg10000c3qk1jjc77u2okhds40g,25.6,35.6,29.38,42.39,45.6,69,3.78,10.0,4,1,0,6.220000000000001,69
40,v0300fg10000c3qk1jjc77u2okhds40g,35.6,45.6,29.38,42.39,45.6,69,0.0,6.79,2,1,0,6.79,69
41,v0300fg10000c7jtv7jc77u6h3hqiif0,48.055,58.055,51.08,55.03,59.51,19,3.02,6.98,1,0,0,3.96,19
42,v0d00fg10000cdthperc77u3qr7hk0og,0.0,6.13,1.5,5.0,6.13,326,1.5,5.0,1,0,0,3.5,326
43,v0d00fg10000c8bcvq3c77u7qph23gmg,11.740000000000002,21.74,15.16,28.32,35.2,322,3.42,10.0,4,0,0,6.58,322
44,v0d00fg10000c8bcvq3c77u7qph23gmg,21.74,31.74,15.16,28.32,35.2,322,0.0,6.58,2,0,0,6.58,322
45,v0d00fg10000cd9rl43c77u75vsdmqfg,0.0,10.0,0.0,9.0,10.91,342,0.0,9.0,1,1,1,9.0,342
46,v0200fg10000cd5ujujc77u16gc8217g,55.015,65.015,57.85,72.18,82.48,48,2.84,10.0,4,1,1,7.16,48
47,v0200fg10000cd5ujujc77u16gc8217g,65.015,75.015,57.85,72.18,82.48,48,0.0,7.17,2,1,1,7.17,48
48,v0300fg10000cd37vhbc77u39otpn7a0,0.0,10.0,0.0,14.0,14.97,56,0.0,10.0,4,1,1,10.0,56
49,v0200fg10000cbeeeg3c77u9vlvgrtdg,0.0,10.0,0.0,17.14,17.21,241,0.0,10.0,4,1,1,10.0,241
51,v0300c1c0000buds5jt7pqdq6dl77p00,0.0,10.0,0.0,15.01,15.1,55,0.0,10.0,4,0,0,10.0,55
52,v0200fg10000cdphj4jc77ueacd3t2n0,0.0,9.5,1.09,9.5,9.5,322,1.09,9.5,1,0,0,8.41,322
53,v0d00fg10000cdq40urc77u6kns9r8og,0.0,10.0,0.44,11.14,11.53,73,0.44,10.0,4,1,1,9.56,73
54,v0d00fg10000c7jsanjc77u2v6702ndg,11.48,21.48,13.48,20.78,21.48,319,2.0,9.3,1,1,0,7.300000000000001,319
55,v0300fg10000cdf415jc77ucfvt47d40,0.0,9.67,0.0,9.0,9.67,312,0.0,9.0,1,1,1,9.0,312
56,v0200fg10000cdj5k43c77u6bnkqd580,0.0,10.0,0.0,20.22,20.33,344,0.0,10.0,4,1,1,10.0,344
57,v0200fg10000cdj5k43c77u6bnkqd580,10.0,20.0,0.0,20.22,20.33,344,0.0,10.0,3,1,1,10.0,344
58,v0200fg10000caebg9rc77u30l91dgdg,0.0,10.0,0.05,8.26,14.28,306,0.05,8.26,1,1,1,8.209999999999999,306
59,v0d00fg10000cddqigbc77u0d4vr05sg,0.0,10.0,2.48,15.09,15.13,5,2.48,10.0,4,1,0,7.52,5
60,v0200fg10000ce2o29jc77u1htta2gc0,0.0,10.0,0.04,10.91,10.91,398,0.04,10.0,4,0,0,9.96,398
61,v0200fg10000ccana9bc77u0fa2d4210,5.869999999999997,15.869999999999996,10.75,45.46,45.87,358,4.88,10.0,4,0,0,5.12,358
62,v0200fg10000ccana9bc77u0fa2d4210,15.869999999999996,25.87,10.75,45.46,45.87,358,0.0,10.0,3,0,0,10.0,358
63,v0200fg10000ccana9bc77u0fa2d4210,25.87,35.87,10.75,45.46,45.87,358,0.0,10.0,3,0,0,10.0,358
64,v0200fg10000ccana9bc77u0fa2d4210,35.87,45.87,10.75,45.46,45.87,358,0.0,9.59,2,0,0,9.59,358
65,v0200fg10000c74hobrc77ubolj7cui0,1.84,11.84,5.31,8.37,18.77,319,3.47,6.53,1,1,1,3.06,319
66,v0200fg10000cdnio8rc77u748sk98rg,0.0,10.0,0.1,11.36,11.4,344,0.1,10.0,4,0,0,9.9,344
67,v0200fg10000cdnn56bc77u3gsf9mc9g,0.0,10.0,0.1,36.39,36.43,344,0.1,10.0,4,1,1,9.9,344
68,v0200fg10000cdnn56bc77u3gsf9mc9g,10.0,20.0,0.1,36.39,36.43,344,0.0,10.0,3,1,1,10.0,344
69,v0200fg10000cdnn56bc77u3gsf9mc9g,20.0,30.0,0.1,36.39,36.43,344,0.0,10.0,3,1,1,10.0,344
72,v0300fg10000cd6cmqjc77ub9aiq8510,0.0,10.0,0.02,36.66,37.43,14,0.02,10.0,4,1,1,9.98,14
73,v0300fg10000cd6cmqjc77ub9aiq8510,10.0,20.0,0.02,36.66,37.43,14,0.0,10.0,3,1,1,10.0,14
74,v0300fg10000cd6cmqjc77ub9aiq8510,20.0,30.0,0.02,36.66,37.43,14,0.0,10.0,3,1,1,10.0,14
76,v0200fg10000ca7m2crc77ua3uaao7q0,1.9450000000000005,11.945,4.96,18.93,24.63,310,3.01,10.0,4,1,1,6.99,310
77,v0200fg10000ca7m2crc77ua3uaao7q0,11.945,21.945,4.96,18.93,24.63,310,0.0,6.98,2,1,1,6.98,310
78,v0300fg10000c9dbkn3c77uetlvabqbg,5.27,15.27,8.04,14.9,15.27,310,2.77,9.63,1,1,0,6.860000000000001,310
79,v0200fg10000c9doagjc77ue8h9mtepg,0.0,10.0,0.02,17.98,45.23,14,0.02,10.0,4,1,0,9.98,14
80,v0200fg10000c9doagjc77ue8h9mtepg,10.0,20.0,0.02,17.98,45.23,14,0.0,7.98,2,1,0,7.98,14
81,v0300fg10000cdn6qsrc77ue60tj9mfg,0.0,10.0,2.43,14.58,14.58,32,2.43,10.0,4,1,1,7.57,32
82,v0300fg10000cdtj2ijc77u3qbrge1b0,1.125,11.125,2.43,29.82,29.84,359,1.31,10.0,4,1,0,8.69,359
83,v0300fg10000cdtj2ijc77u3qbrge1b0,11.125,21.125,2.43,29.82,29.84,359,0.0,10.0,3,1,0,10.0,359
84,v0200fg10000c9dcdvjc77uehl2ojhlg,0.0,10.0,0.28,12.47,12.47,57,0.28,10.0,4,1,1,9.72,57
85,v0200fg10000c962ijjc77u94d0n3olg,0.0,10.0,0.28,27.18,27.2,359,0.28,10.0,4,0,0,9.72,359
86,v0200fg10000c962ijjc77u94d0n3olg,10.0,20.0,0.28,27.18,27.2,359,0.0,10.0,3,0,0,10.0,359
87,v0200fg10000cck3cobc77u4j1ogq40g,0.0,8.38,1.18,8.38,8.38,322,1.18,8.38,1,1,0,7.200000000000001,322
89,v0d00fg10000cdh477bc77u0mqfcqf00,6.379999999999999,16.38,6.58,16.18,25.31,32,0.2,9.8,1,1,1,9.6,32
90,v0200fg10000cdesabrc77u8jmrm7s10,0.0,10.0,0.7,15.83,15.83,84,0.7,10.0,4,0,0,9.3,84
91,v0300fg10000c9ejct3c77udcdu5gdng,0.0,10.0,0.15,30.65,30.9,5,0.15,10.0,4,1,0,9.85,5
92,v0300fg10000c9ejct3c77udcdu5gdng,10.0,20.0,0.15,30.65,30.9,5,0.0,10.0,3,1,0,10.0,5
93,v0300fg10000c9ejct3c77udcdu5gdng,20.0,30.0,0.15,30.65,30.9,5,0.0,10.0,3,1,0,10.0,5
94,v0200fg10000cdj1d5bc77u77atglme0,0.0,4.77,0.14,4.77,4.77,305,0.14,4.77,1,1,1,4.63,305
96,v0d00fg10000cddlu8bc77u2j84u8s9g,2.8999999999999986,12.9,7.38,32.47,32.9,326,4.48,10.0,4,1,1,5.52,326
97,v0d00fg10000cddlu8bc77u2j84u8s9g,12.9,22.9,7.38,32.47,32.9,326,0.0,10.0,3,1,1,10.0,326
98,v0d00fg10000cddlu8bc77u2j84u8s9g,22.9,32.9,7.38,32.47,32.9,326,0.0,9.57,2,1,1,9.57,326
99,v0200fg10000ccgnefbc77uf3o5f9mhg,0.0,10.0,1.3,45.21,45.26,344,1.3,10.0,4,1,0,8.7,344
100,v0200fg10000ccgnefbc77uf3o5f9mhg,10.0,20.0,1.3,45.21,45.26,344,0.0,10.0,3,1,0,10.0,344
101,v0200fg10000ccgnefbc77uf3o5f9mhg,20.0,30.0,1.3,45.21,45.26,344,0.0,10.0,3,1,0,10.0,344
102,v0200fg10000ccgnefbc77uf3o5f9mhg,30.0,40.0,1.3,45.21,45.26,344,0.0,10.0,3,1,0,10.0,344
104,v0300fg10000c73shurc77u035fm3ljg,5.735000000000003,15.735000000000005,5.95,35.52,39.5,384,0.21,10.0,4,1,0,9.79,384
105,v0300fg10000c73shurc77u035fm3ljg,15.735000000000005,25.735000000000003,5.95,35.52,39.5,384,0.0,10.0,3,1,0,10.0,384
106,v0300fg10000c73shurc77u035fm3ljg,25.735000000000003,35.735,5.95,35.52,39.5,384,0.0,9.79,2,1,0,9.79,384
109,v0200fg10000cdjjikbc77u4ujprkjrg,4.005000000000001,14.005,8.98,19.03,19.03,322,4.97,10.0,4,1,0,5.03,322
114,v0200fg10000cdji6hrc77u9m893tce0,9.39,19.39,12.11,17.39,19.39,310,2.72,8.0,1,1,1,5.279999999999999,310
115,v0300fg10000c4r03ejc77ufhtcdlisg,1.2199999999999989,11.22,3.08,50.95,51.22,342,1.86,10.0,4,1,1,8.14,342
116,v0300fg10000c4r03ejc77ufhtcdlisg,11.22,21.22,3.08,50.95,51.22,342,0.0,10.0,3,1,1,10.0,342
117,v0300fg10000c4r03ejc77ufhtcdlisg,21.22,31.22,3.08,50.95,51.22,342,0.0,10.0,3,1,1,10.0,342
118,v0300fg10000c4r03ejc77ufhtcdlisg,31.22,41.22,3.08,50.95,51.22,342,0.0,10.0,3,1,1,10.0,342
119,v0300fg10000c4r03ejc77ufhtcdlisg,41.22,51.22,3.08,50.95,51.22,342,0.0,9.73,2,1,1,9.73,342
120,v0d00fg10000ce2mejjc77uf34ite70g,0.2350000000000029,10.235000000000005,0.84,49.63,52.15,71,0.6,10.0,4,1,0,9.4,71
121,v0d00fg10000ce2mejjc77uf34ite70g,10.235000000000005,20.235000000000003,0.84,49.63,52.15,71,0.0,10.0,3,1,0,10.0,71
122,v0d00fg10000ce2mejjc77uf34ite70g,20.235000000000003,30.235000000000003,0.84,49.63,52.15,71,0.0,10.0,3,1,0,10.0,71
123,v0d00fg10000ce2mejjc77uf34ite70g,30.235000000000003,40.235,0.84,49.63,52.15,71,0.0,10.0,3,1,0,10.0,71
124,v0d00fg10000ce2mejjc77uf34ite70g,40.235,50.235,0.84,49.63,52.15,71,0.0,9.4,2,1,0,9.4,71
125,v0d00fg10000cdg9porc77u2usbpaer0,0.0,10.0,0.84,38.77,38.77,235,0.84,10.0,4,0,0,9.16,235
126,v0d00fg10000cdg9porc77u2usbpaer0,10.0,20.0,0.84,38.77,38.77,235,0.0,10.0,3,0,0,10.0,235
127,v0d00fg10000cdg9porc77u2usbpaer0,20.0,30.0,0.84,38.77,38.77,235,0.0,10.0,3,0,0,10.0,235
128,v0300fg10000cdtprcbc77uc8it2jqkg,0.0,10.0,0.0,19.46,19.47,359,0.0,10.0,4,0,0,10.0,359
129,v0200fg10000cc26nhjc77u43tiibdv0,0.0,10.0,0.0,17.59,21.8,20,0.0,10.0,4,1,1,10.0,20
130,v0200fg10000cc26nhjc77u43tiibdv0,10.0,20.0,0.0,17.59,21.8,20,0.0,7.59,2,1,1,7.59,20
133,v0300fg10000ccuifhbc77u6oto7oih0,0.0,10.0,0.49,43.79,45.05,10,0.49,10.0,4,0,0,9.51,10
134,v0300fg10000ccuifhbc77u6oto7oih0,10.0,20.0,0.49,43.79,45.05,10,0.0,10.0,3,0,0,10.0,10
135,v0300fg10000ccuifhbc77u6oto7oih0,20.0,30.0,0.49,43.79,45.05,10,0.0,10.0,3,0,0,10.0,10
136,v0300fg10000ccuifhbc77u6oto7oih0,30.0,40.0,0.49,43.79,45.05,10,0.0,10.0,3,0,0,10.0,10
137,v0200fg10000cdsp9jbc77ucn2t8qr70,22.055,32.055,25.22,28.89,40.83,310,3.16,6.84,1,1,0,3.68,310
139,v0200fg10000cbum54bc77u3kckipc7g,0.0,10.0,0.7,3.05,14.67,235,0.7,3.05,1,1,1,2.35,235
140,v0d00fg10000cdmgnkrc77u64v0kt17g,4.584999999999999,14.585,6.97,12.2,17.14,232,2.39,7.62,1,1,1,5.23,232
141,v0300fg10000ce2ue5rc77u5u4sfnprg,26.700000000000003,36.7,31.99,36.7,36.7,77,5.29,10.0,1,1,1,4.71,77
143,v0200fg10000cd317n3c77u1i5oq5ovg,3.75,13.75,8.4,19.29,23.75,20,4.65,10.0,4,1,0,5.35,20
144,v0200fg10000cd317n3c77u1i5oq5ovg,13.75,23.75,8.4,19.29,23.75,20,0.0,5.54,2,1,0,5.54,20
145,v0300fg10000c6183djc77ufavgc1j7g,3.990000000000002,13.990000000000002,12.03,53.39,53.99,342,8.04,10.0,4,0,0,1.9600000000000009,342
146,v0300fg10000c6183djc77ufavgc1j7g,13.990000000000002,23.99,12.03,53.39,53.99,342,0.0,10.0,3,0,0,10.0,342
147,v0300fg10000c6183djc77ufavgc1j7g,23.99,33.99,12.03,53.39,53.99,342,0.0,10.0,3,0,0,10.0,342
148,v0300fg10000c6183djc77ufavgc1j7g,33.99,43.99,12.03,53.39,53.99,342,0.0,10.0,3,0,0,10.0,342
149,v0300fg10000c6183djc77ufavgc1j7g,43.99,53.99,12.03,53.39,53.99,342,0.0,9.4,2,0,0,9.4,342
150,v0300c750000c1bb0tdj0ovuiomd7b40,0.0,10.0,0.01,4.2,15.05,77,0.01,4.2,1,0,1,4.19,77
153,v0300fg10000cbmtobbc77uft0jjhfb0,7.135000000000002,17.135,9.31,34.96,49.74,60,2.17,10.0,4,1,1,7.83,60
154,v0300fg10000cbmtobbc77uft0jjhfb0,17.135,27.135,9.31,34.96,49.74,60,0.0,10.0,3,1,1,10.0,60
155,v0300fg10000cbmtobbc77uft0jjhfb0,27.135,37.135000000000005,9.31,34.96,49.74,60,0.0,7.82,2,1,1,7.82,60
157,v0200fg10000cds8l0bc77u7tsj2q5kg,0.0199999999999995,10.02,0.18,20.0,20.02,346,0.16,10.0,4,0,0,9.84,346
158,v0200fg10000cds8l0bc77u7tsj2q5kg,10.02,20.02,0.18,20.0,20.02,346,0.0,9.98,2,0,0,9.98,346
159,v0d00fg10000ce2rpljc77u5jcvu4au0,0.0,10.0,0.0,11.38,13.14,342,0.0,10.0,4,1,1,10.0,342
160,v0d00fg10000c7c17pjc77ucna9vma30,4.545000000000002,14.545000000000002,8.41,30.68,42.98,13,3.86,10.0,4,1,1,6.140000000000001,13
161,v0d00fg10000c7c17pjc77ucna9vma30,14.545000000000002,24.545,8.41,30.68,42.98,13,0.0,10.0,3,1,1,10.0,13
162,v0d00fg10000c7c17pjc77ucna9vma30,24.545,34.545,8.41,30.68,42.98,13,0.0,6.13,2,1,1,6.13,13
163,v0d00fg10000c8go12bc77u9s9gen4vg,0.0,10.0,0.28,17.48,20.17,326,0.28,10.0,4,1,1,9.72,326
164,v0d00fg10000c8go12bc77u9s9gen4vg,10.0,20.0,0.28,17.48,20.17,326,0.0,7.48,2,1,1,7.48,326
165,v0d00fg10000cbp8l03c77uffhhn337g,0.0,8.06,1.39,4.65,8.06,326,1.39,4.65,1,0,0,3.2600000000000007,326
167,v0300fg10000c70q3s3c77u1on1aqhg0,0.0,10.0,0.0,12.28,12.28,235,0.0,10.0,4,0,0,10.0,235
168,v0d00fg10000cdbsnqjc77u0dt25j1d0,1.58,11.58,5.23,17.93,17.93,312,3.65,10.0,4,1,0,6.35,312
169,v0d00fg10000ca2a463c77u6bin8apjg,5.824999999999999,15.825,8.1,13.55,56.42,235,2.28,7.73,1,1,1,5.450000000000001,235
170,v0300fg10000cdqqlm3c77ue5uomceig,0.0,10.0,3.98,15.49,19.57,240,3.98,10.0,4,1,0,6.02,240
171,v0d00fg10000c2tl67ce1d5fn8tikhb0,0.0,10.0,0.5,13.99,17.33,240,0.5,10.0,4,1,1,9.5,240
172,v0200fg10000cdo8743c77u7tshcala0,0.0,10.0,0.0,47.73,47.83,84,0.0,10.0,4,0,0,10.0,84
173,v0200fg10000cdo8743c77u7tshcala0,10.0,20.0,0.0,47.73,47.83,84,0.0,10.0,3,0,0,10.0,84
174,v0200fg10000cdo8743c77u7tshcala0,20.0,30.0,0.0,47.73,47.83,84,0.0,10.0,3,0,0,10.0,84
175,v0200fg10000cdo8743c77u7tshcala0,30.0,40.0,0.0,47.73,47.83,84,0.0,10.0,3,0,0,10.0,84
177,v0200fg10000ce4sk5rc77u4rh1qkln0,18.770000000000003,28.770000000000003,25.07,38.75,38.77,80,6.3,10.0,4,0,0,3.7,80
178,v0200fg10000ce4sk5rc77u4rh1qkln0,28.770000000000003,38.77,25.07,38.75,38.77,80,0.0,9.98,2,0,0,9.98,80
180,v0200fg10000ca69btjc77u1gs7dcsb0,27.08,37.08,32.58,34.26,37.08,312,5.5,7.18,1,1,0,1.6799999999999995,312
181,v0200fg10000cd0ethjc77u4bm1qctlg,11.18,21.18,14.94,21.04,21.18,240,3.76,9.86,1,1,1,6.1,240
182,v0d00fg10000cbp3k8jc77udt438vbbg,0.0,10.0,0.56,30.78,31.76,84,0.56,10.0,4,1,0,9.44,84
183,v0d00fg10000cbp3k8jc77udt438vbbg,10.0,20.0,0.56,30.78,31.76,84,0.0,10.0,3,1,0,10.0,84
184,v0d00fg10000cbp3k8jc77udt438vbbg,20.0,30.0,0.56,30.78,31.76,84,0.0,10.0,3,1,0,10.0,84
186,v0200fg10000ccc90frc77u2sqmh4i5g,0.0,10.0,0.69,23.07,24.51,5,0.69,10.0,4,1,0,9.31,5
187,v0200fg10000ccc90frc77u2sqmh4i5g,10.0,20.0,0.69,23.07,24.51,5,0.0,10.0,3,1,0,10.0,5
188,v0200f820000c01c95c6u54nvq5vhfo0,37.1,47.1,39.98,44.75,47.1,76,2.88,7.65,1,0,0,4.7700000000000005,76
189,v0200fg10000cdquo23c77ubkreupts0,7.01,17.009999999999998,9.54,14.48,25.1,240,2.53,7.47,1,0,0,4.94,240
191,v0d00fg10000cdf3spbc77ud4kbhl0kg,0.0,10.0,0.03,13.03,31.02,306,0.03,10.0,4,1,0,9.97,306
192,v0d00fg10000cdf3spbc77ud4kbhl0kg,10.0,20.0,0.03,13.03,31.02,306,0.0,3.03,2,1,0,3.03,306
195,v0200fg10000cc5kf8bc77u5odae4iag,19.450000000000003,29.450000000000003,21.89,27.01,34.44,232,2.44,7.56,1,1,1,5.119999999999999,232
196,v0200fg10000cccp3g3c77u3442elme0,7.760000000000002,17.76,9.01,16.51,53.8,48,1.25,8.75,1,1,1,7.5,48
197,v0300fg10000ce0ofobc77u0bp561lhg,0.0,10.0,0.0,8.07,56.17,14,0.0,8.07,1,0,0,8.07,14
198,v0300fg10000c28fgoo1a38lipff2jag,7.719999999999999,17.72,12.95,17.67,17.72,49,5.23,9.95,1,1,1,4.719999999999999,49
199,v0200fg10000cch9rsjc77u27ld55dm0,0.0,10.0,0.47,5.02,11.35,61,0.47,5.02,1,0,1,4.55,61
201,v0300fg10000cds73jrc77ued15oues0,0.0,10.0,0.54,27.03,39.04,5,0.54,10.0,4,1,0,9.46,5
202,v0300fg10000cds73jrc77ued15oues0,10.0,20.0,0.54,27.03,39.04,5,0.0,10.0,3,1,0,10.0,5
203,v0300fg10000cds73jrc77ued15oues0,20.0,30.0,0.54,27.03,39.04,5,0.0,7.03,2,1,0,7.03,5
205,v0300fg10000cd74fsbc77u9l9j967mg,0.0,10.0,0.47,2.98,12.8,306,0.47,2.98,1,1,1,2.51,306
206,v0300fg10000cba23qrc77u3od4t51j0,9.724999999999998,19.725,12.12,17.33,89.87,29,2.4,7.61,1,1,1,5.210000000000001,29
207,v0200fg10000cddrmo3c77u0tofadtp0,4.369999999999999,14.37,7.71,11.03,59.05,305,3.34,6.66,1,0,0,3.3200000000000003,305
208,v0200fg10000cd43ae3c77u5u1jfmcm0,0.0,10.0,0.0,35.07,42.84,307,0.0,10.0,4,0,0,10.0,307
209,v0200fg10000cd43ae3c77u5u1jfmcm0,10.0,20.0,0.0,35.07,42.84,307,0.0,10.0,3,0,0,10.0,307
210,v0200fg10000cd43ae3c77u5u1jfmcm0,20.0,30.0,0.0,35.07,42.84,307,0.0,10.0,3,0,0,10.0,307
211,v0200fg10000cd43ae3c77u5u1jfmcm0,30.0,40.0,0.0,35.07,42.84,307,0.0,5.07,2,0,0,5.07,307
212,v0200fg10000c8q3drrc77u8b5j0pcn0,45.605,55.605,49.55,51.66,66.53,56,3.95,6.05,1,1,0,2.1,56
213,v0200fg10000cds4t53c77ue2mdbkarg,0.0,9.97,0.0,8.29,9.97,232,0.0,8.29,1,1,1,8.29,232
214,v0300fg10000c3eq4rrc77u0cmh3m6s0,15.09,25.09,18.08,32.1,41.4,67,2.99,10.0,4,1,1,7.01,67
215,v0300fg10000c3eq4rrc77u0cmh3m6s0,25.09,35.09,18.08,32.1,41.4,67,0.0,7.01,2,1,1,7.01,67
216,v0d00fg10000cdqqeijc77u06eabqkp0,0.0,10.0,0.0,41.09,41.1,69,0.0,10.0,4,0,0,10.0,69
217,v0d00fg10000cdqqeijc77u06eabqkp0,10.0,20.0,0.0,41.09,41.1,69,0.0,10.0,3,0,0,10.0,69
218,v0d00fg10000cdqqeijc77u06eabqkp0,20.0,30.0,0.0,41.09,41.1,69,0.0,10.0,3,0,0,10.0,69
219,v0d00fg10000cdqqeijc77u06eabqkp0,30.0,40.0,0.0,41.09,41.1,69,0.0,10.0,3,0,0,10.0,69
220,v0d00fg10000cdji9rbc77uccgbchd5g,0.0,9.6,0.82,7.31,9.6,78,0.82,7.31,1,1,1,6.489999999999999,78
221,v0d00fg10000ce06b6jc77uet65gdklg,0.0,10.0,0.86,15.97,18.34,235,0.86,10.0,4,1,0,9.14,235
222,v0d00fg10000cbueg2rc77ufr0261970,13.335,23.335,14.78,21.89,42.3,307,1.44,8.55,1,0,0,7.110000000000001,307
223,v0d00fg10000ce8menrc77ufhbbfc3h0,0.0,10.0,0.0,60.52,60.53,69,0.0,10.0,4,0,0,10.0,69
224,v0d00fg10000ce8menrc77ufhbbfc3h0,10.0,20.0,0.0,60.52,60.53,69,0.0,10.0,3,0,0,10.0,69
225,v0d00fg10000ce8menrc77ufhbbfc3h0,20.0,30.0,0.0,60.52,60.53,69,0.0,10.0,3,0,0,10.0,69
226,v0d00fg10000ce8menrc77ufhbbfc3h0,30.0,40.0,0.0,60.52,60.53,69,0.0,10.0,3,0,0,10.0,69
