sample_id,video_id,onset,offset,label
46,v0200fg10000cd5ujujc77u16gc8217g,2.84,10,48
47,v0200fg10000cd5ujujc77u16gc8217g,0,7.17,48
48,v0300fg10000cd37vhbc77u39otpn7a0,0,10,56
49,v0200fg10000cbeeeg3c77u9vlvgrtdg,0,10,241
51,v0300c1c0000buds5jt7pqdq6dl77p00,0,10,55
52,v0200fg10000cdphj4jc77ueacd3t2n0,1.09,9.5,322
54,v0d00fg10000c7jsanjc77u2v6702ndg,2,9.3,319
55,v0300fg10000cdf415jc77ucfvt47d40,0,9,312
56,v0200fg10000cdj5k43c77u6bnkqd580,0,10,344
57,v0200fg10000cdj5k43c77u6bnkqd580,0,10,344
58,v0200fg10000caebg9rc77u30l91dgdg,0.05,8.26,306
59,v0d00fg10000cddqigbc77u0d4vr05sg,2.48,10,5
60,v0200fg10000ce2o29jc77u1htta2gc0,0.04,10,398
61,v0200fg10000ccana9bc77u0fa2d4210,4.88,10,358
62,v0200fg10000ccana9bc77u0fa2d4210,0,10,358
63,v0200fg10000ccana9bc77u0fa2d4210,0,10,358
64,v0200fg10000ccana9bc77u0fa2d4210,0,9.59,358
65,v0200fg10000c74hobrc77ubolj7cui0,3.47,6.53,319
66,v0200fg10000cdnio8rc77u748sk98rg,0.1,10,344
67,v0200fg10000cdnn56bc77u3gsf9mc9g,0.1,10,344
68,v0200fg10000cdnn56bc77u3gsf9mc9g,0,10,344
69,v0200fg10000cdnn56bc77u3gsf9mc9g,0,10,344
72,v0300fg10000cd6cmqjc77ub9aiq8510,0.02,10,14
73,v0300fg10000cd6cmqjc77ub9aiq8510,0,10,14
74,v0300fg10000cd6cmqjc77ub9aiq8510,0,10,14
76,v0200fg10000ca7m2crc77ua3uaao7q0,3.01,10,310
77,v0200fg10000ca7m2crc77ua3uaao7q0,0,6.98,310
78,v0300fg10000c9dbkn3c77uetlvabqbg,2.77,9.63,310
79,v0200fg10000c9doagjc77ue8h9mtepg,0.02,10,14
80,v0200fg10000c9doagjc77ue8h9mtepg,0,7.98,14
81,v0300fg10000cdn6qsrc77ue60tj9mfg,2.43,10,32
82,v0300fg10000cdtj2ijc77u3qbrge1b0,1.31,10,359
83,v0300fg10000cdtj2ijc77u3qbrge1b0,0,10,359
84,v0200fg10000c9dcdvjc77uehl2ojhlg,0.28,10,57
85,v0200fg10000c962ijjc77u94d0n3olg,0.28,10,359
86,v0200fg10000c962ijjc77u94d0n3olg,0,10,359
87,v0200fg10000cck3cobc77u4j1ogq40g,1.18,8.38,322
89,v0d00fg10000cdh477bc77u0mqfcqf00,0.2,9.8,32
90,v0200fg10000cdesabrc77u8jmrm7s10,0.7,10,84
91,v0300fg10000c9ejct3c77udcdu5gdng,0.15,10,5
92,v0300fg10000c9ejct3c77udcdu5gdng,0,10,5
93,v0300fg10000c9ejct3c77udcdu5gdng,0,10,5
94,v0200fg10000cdj1d5bc77u77atglme0,0.14,4.77,305
96,v0d00fg10000cddlu8bc77u2j84u8s9g,4.48,10,326
97,v0d00fg10000cddlu8bc77u2j84u8s9g,0,10,326
98,v0d00fg10000cddlu8bc77u2j84u8s9g,0,9.57,326
99,v0200fg10000ccgnefbc77uf3o5f9mhg,1.3,10,344
100,v0200fg10000ccgnefbc77uf3o5f9mhg,0,10,344
101,v0200fg10000ccgnefbc77uf3o5f9mhg,0,10,344
102,v0200fg10000ccgnefbc77uf3o5f9mhg,0,10,344
109,v0200fg10000cdjjikbc77u4ujprkjrg,4.97,10,322
114,v0200fg10000cdji6hrc77u9m893tce0,2.72,8,310
115,v0300fg10000c4r03ejc77ufhtcdlisg,1.86,10,342
116,v0300fg10000c4r03ejc77ufhtcdlisg,0,10,342
117,v0300fg10000c4r03ejc77ufhtcdlisg,0,10,342
118,v0300fg10000c4r03ejc77ufhtcdlisg,0,10,342
119,v0300fg10000c4r03ejc77ufhtcdlisg,0,9.73,342
120,v0d00fg10000ce2mejjc77uf34ite70g,0.6,10,71
121,v0d00fg10000ce2mejjc77uf34ite70g,0,10,71
122,v0d00fg10000ce2mejjc77uf34ite70g,0,10,71
123,v0d00fg10000ce2mejjc77uf34ite70g,0,10,71
124,v0d00fg10000ce2mejjc77uf34ite70g,0,9.4,71
125,v0d00fg10000cdg9porc77u2usbpaer0,0.84,10,235
126,v0d00fg10000cdg9porc77u2usbpaer0,0,10,235
127,v0d00fg10000cdg9porc77u2usbpaer0,0,10,235
128,v0300fg10000cdtprcbc77uc8it2jqkg,0,10,359
129,v0200fg10000cc26nhjc77u43tiibdv0,0,10,20
130,v0200fg10000cc26nhjc77u43tiibdv0,0,7.59,20
133,v0300fg10000ccuifhbc77u6oto7oih0,0.49,10,10
134,v0300fg10000ccuifhbc77u6oto7oih0,0,10,10
135,v0300fg10000ccuifhbc77u6oto7oih0,0,10,10
136,v0300fg10000ccuifhbc77u6oto7oih0,0,10,10
137,v0200fg10000cdsp9jbc77ucn2t8qr70,3.16,6.84,310
139,v0200fg10000cbum54bc77u3kckipc7g,0.7,3.05,235
140,v0d00fg10000cdmgnkrc77u64v0kt17g,2.39,7.62,232
141,v0300fg10000ce2ue5rc77u5u4sfnprg,5.29,10,77
143,v0200fg10000cd317n3c77u1i5oq5ovg,4.65,10,20
144,v0200fg10000cd317n3c77u1i5oq5ovg,0,5.54,20
145,v0300fg10000c6183djc77ufavgc1j7g,8.04,10,342
146,v0300fg10000c6183djc77ufavgc1j7g,0,10,342
147,v0300fg10000c6183djc77ufavgc1j7g,0,10,342
148,v0300fg10000c6183djc77ufavgc1j7g,0,10,342
149,v0300fg10000c6183djc77ufavgc1j7g,0,9.4,342
150,v0300c750000c1bb0tdj0ovuiomd7b40,0.01,4.2,77
153,v0300fg10000cbmtobbc77uft0jjhfb0,2.17,10,60
154,v0300fg10000cbmtobbc77uft0jjhfb0,0,10,60
155,v0300fg10000cbmtobbc77uft0jjhfb0,0,7.82,60
157,v0200fg10000cds8l0bc77u7tsj2q5kg,0.16,10,346
158,v0200fg10000cds8l0bc77u7tsj2q5kg,0,9.98,346
159,v0d00fg10000ce2rpljc77u5jcvu4au0,0,10,342
160,v0d00fg10000c7c17pjc77ucna9vma30,3.86,10,13
161,v0d00fg10000c7c17pjc77ucna9vma30,0,10,13
162,v0d00fg10000c7c17pjc77ucna9vma30,0,6.13,13
163,v0d00fg10000c8go12bc77u9s9gen4vg,0.28,10,326
164,v0d00fg10000c8go12bc77u9s9gen4vg,0,7.48,326
165,v0d00fg10000cbp8l03c77uffhhn337g,1.39,4.65,326
167,v0300fg10000c70q3s3c77u1on1aqhg0,0,10,235
168,v0d00fg10000cdbsnqjc77u0dt25j1d0,3.65,10,312
169,v0d00fg10000ca2a463c77u6bin8apjg,2.28,7.73,235
170,v0300fg10000cdqqlm3c77ue5uomceig,3.98,10,240
171,v0d00fg10000c2tl67ce1d5fn8tikhb0,0.5,10,240
172,v0200fg10000cdo8743c77u7tshcala0,0,10,84
173,v0200fg10000cdo8743c77u7tshcala0,0,10,84
174,v0200fg10000cdo8743c77u7tshcala0,0,10,84
175,v0200fg10000cdo8743c77u7tshcala0,0,10,84
177,v0200fg10000ce4sk5rc77u4rh1qkln0,6.3,10,80
178,v0200fg10000ce4sk5rc77u4rh1qkln0,0,9.98,80
180,v0200fg10000ca69btjc77u1gs7dcsb0,5.5,7.18,312
181,v0200fg10000cd0ethjc77u4bm1qctlg,3.76,9.86,240
182,v0d00fg10000cbp3k8jc77udt438vbbg,0.56,10,84
183,v0d00fg10000cbp3k8jc77udt438vbbg,0,10,84
184,v0d00fg10000cbp3k8jc77udt438vbbg,0,10,84
186,v0200fg10000ccc90frc77u2sqmh4i5g,0.69,10,5
187,v0200fg10000ccc90frc77u2sqmh4i5g,0,10,5
188,v0200f820000c01c95c6u54nvq5vhfo0,2.88,7.65,76
189,v0200fg10000cdquo23c77ubkreupts0,2.53,7.47,240
191,v0d00fg10000cdf3spbc77ud4kbhl0kg,0.03,10,306
192,v0d00fg10000cdf3spbc77ud4kbhl0kg,0,3.03,306
195,v0200fg10000cc5kf8bc77u5odae4iag,2.44,7.56,232
196,v0200fg10000cccp3g3c77u3442elme0,1.25,8.75,48
197,v0300fg10000ce0ofobc77u0bp561lhg,0,8.07,14
198,v0300fg10000c28fgoo1a38lipff2jag,5.23,9.95,49
199,v0200fg10000cch9rsjc77u27ld55dm0,0.47,5.02,61
201,v0300fg10000cds73jrc77ued15oues0,0.54,10,5
202,v0300fg10000cds73jrc77ued15oues0,0,10,5
203,v0300fg10000cds73jrc77ued15oues0,0,7.03,5
205,v0300fg10000cd74fsbc77u9l9j967mg,0.47,2.98,306
207,v0200fg10000cddrmo3c77u0tofadtp0,3.34,6.66,305
208,v0200fg10000cd43ae3c77u5u1jfmcm0,0,10,307
209,v0200fg10000cd43ae3c77u5u1jfmcm0,0,10,307
210,v0200fg10000cd43ae3c77u5u1jfmcm0,0,10,307
211,v0200fg10000cd43ae3c77u5u1jfmcm0,0,5.07,307
212,v0200fg10000c8q3drrc77u8b5j0pcn0,3.95,6.05,56
213,v0200fg10000cds4t53c77ue2mdbkarg,0,8.29,232
216,v0d00fg10000cdqqeijc77u06eabqkp0,0,10,69
217,v0d00fg10000cdqqeijc77u06eabqkp0,0,10,69
218,v0d00fg10000cdqqeijc77u06eabqkp0,0,10,69
219,v0d00fg10000cdqqeijc77u06eabqkp0,0,10,69
220,v0d00fg10000cdji9rbc77uccgbchd5g,0.82,7.31,78
221,v0d00fg10000ce06b6jc77uet65gdklg,0.86,10,235
222,v0d00fg10000cbueg2rc77ufr0261970,1.44,8.55,307
223,v0d00fg10000ce8menrc77ufhbbfc3h0,0,10,69
224,v0d00fg10000ce8menrc77ufhbbfc3h0,0,10,69
225,v0d00fg10000ce8menrc77ufhbbfc3h0,0,10,69
226,v0d00fg10000ce8menrc77ufhbbfc3h0,0,10,69
227,v0d00fg10000ce8menrc77ufhbbfc3h0,0,10,69
228,v0d00fg10000ce8menrc77ufhbbfc3h0,0,10,69
229,v0300fg10000c3c169bga6nu0b0qi2pg,0.15,10,10
230,v0d00fg10000cc23ma3c77uej46nqukg,1.33,8.67,20
231,v0200fg10000cd9742bc77ucovr823eg,4.88,8.74,310
232,v0200fg10000cd20t5jc77ucni6u5tp0,0,10,307
233,v0300fg10000ccsnfobc77ubl4jm32qg,3.83,6.17,20
234,v0200fg10000ca919fbc77ufq9ot6e1g,5.5,10,241
235,v0200fg10000ca919fbc77ufq9ot6e1g,0,10,241
236,v0200fg10000cdl2hl3c77u3hro17m10,0,10,310
237,v0200fg10000cdl2hl3c77u3hro17m10,0,10,310
238,v0200fg10000cbak8hjc77uc8ln7c2rg,0,10,69
239,v0d00fg10000cb3b53jc77u83km6mte0,0.86,10,10
240,v0d00fg10000cb3b53jc77u83km6mte0,0,10,10
241,v0300fe50000bvmrjab2or5m48460690,0,10,55
242,v0200fg10000c956n63c77u0rsbvoql0,3.97,5.44,312
247,v0200fg10000cdv2pbrc77u9edt8vpe0,1.26,8.82,14
248,v0d00fg10000cd7ub5bc77uceumh9pag,0,10,14
249,v0d00fg10000cd7ub5bc77uceumh9pag,0,10,14
251,v0200fg10000cc86gvrc77u5ui05mcl0,0,10,12
252,v0200fg10000cc86gvrc77u5ui05mcl0,0,10,12
253,v0200fg10000cc86gvrc77u5ui05mcl0,0,10,12
254,v0300fg10000c9ok42bc77ub0q78qrdg,3.05,10,84
255,v0300fg10000c9ok42bc77ub0q78qrdg,0,7.15,84
256,v0300fg10000cdj361bc77ube7hbhqqg,0.48,9.52,305
257,v0200fg10000cdgf8rbc77ub1kt324qg,0,9.69,10
260,v0d00fg10000cb8vus3c77u1gkjbhvqg,2.92,10,78
261,v0d00fg10000cb8vus3c77u1gkjbhvqg,0,10,78
263,v0d00fg10000c8o0dtjc77u0pfjb0350,0.25,10,310
264,v0d00fg10000c8o0dtjc77u0pfjb0350,0,10,310
265,v0d00fg10000c8o0dtjc77u0pfjb0350,0,9.75,310
266,v0d00fg10000c92552bc77u5cp3cnj70,0.32,9.68,12
267,v0d00fg10000c8he0ijc77u6vntk6ing,2.67,5.6,14
268,v0d00fg10000cdulvh3c77ufilocs8hg,0,3.73,78
269,v0200fg10000ccda97rc77ub2bb3hq70,1.63,10,84
270,v0200fg10000ccda97rc77ub2bb3hq70,0,10,84
271,v0300fg10000cbkgjc3c77ucvcimk5gg,0.09,4.72,337
272,v0200fg10000c78opi3c77ubhq4j7jbg,3.01,7,61
273,v0200fg10000cc85tgrc77u2dg2mrbq0,2.16,7.84,333
274,v0d00fg10000cdirfbjc77u3nhlequig,0.1,10,84
275,v0d00fg10000ccauch3c77ud87odh86g,3.52,8.1,333
276,v0200fg10000c6agfqjc77ubh5e0b3g0,2.08,5.26,319
277,v0d00fg10000c2jocl8b6ppi3q4d3aug,3.53,10,326
278,v0d00fg10000c2jocl8b6ppi3q4d3aug,0,3.97,326
286,v0300fg10000ccdvdc3c77udr2cjnoag,0.75,10,319
287,v0300fg10000ccdvdc3c77udr2cjnoag,0,10,319
288,v0300fg10000ccdvdc3c77udr2cjnoag,0,2.45,319
289,v0d00fg10000ce2766jc77ucmre8o5og,4.32,5.68,326
290,v0d00fg10000cd4e7t3c77ue89lk7v70,0,10,235
291,v0200fg10000c4ua9brc77u207su22e0,0,10,78
292,v0200fg10000c6op0u3c77u2ghkss8o0,3.58,9.99,349
293,v0200fg10000cd4ghhrc77ufqb29ph8g,2.65,10,307
294,v0200fg10000cd4ghhrc77ufqb29ph8g,0,6.99,307
295,v0200fg10000cdo610jc77u7cpbj0jd0,0,10,307
296,v0200fg10000cdo610jc77u7cpbj0jd0,0,10,307
297,v0200fg10000cdo610jc77u7cpbj0jd0,0,6.17,307
298,v0200fg10000cdu6oprc77u54vkip380,0,10,310
300,v0200fg10000cbecprbc77u5djpa7qo0,6.02,9.49,310
301,v0200fg10000ccs4s7rc77ua352tj140,8.59,9.97,306
302,v0d00fg10000cauj28jc77u0u3vja8mg,1.36,10,20
303,v0200fg10000cd2cmpbc77udje13gfq0,3.78,10,312
304,v0200fg10000cd2cmpbc77udje13gfq0,0,10,312
305,v0200fg10000cd2cmpbc77udje13gfq0,0,4.89,312
306,v0300fg10000cdi6ig3c77u3qbv8mm20,0.19,7.28,397
308,v0300fg10000cdnmbn3c77ueqn9u38sg,1.2,8.8,77
309,v0200fg10000cdrka4jc77u0bk5v5mhg,0.86,10,5
310,v0200fg10000cdl6073c77u0p3568la0,0.8,10,5
311,v0200fg10000cdl6073c77u0p3568la0,0,10,5
312,v0200fg10000cdl6073c77u0p3568la0,0,10,5
313,v0200fg10000cdl6073c77u0p3568la0,0,10,5
315,v0200fg10000cdnlg6rc77uc7pcaugqg,0.35,4.53,360
316,v0200fg10000cbcikr3c77u2veqb0d7g,2,8.01,322
317,v0200fg10000cdchv53c77uf9ujbqfrg,0.52,9.48,360
318,v0d00fg10000cas4qd3c77u87tkksgfg,1.49,8.51,326
319,v0200fg10000ce2nu9bc77ufgjje6mkg,4.52,7.15,235
320,v0200fg10000cdpm55jc77uddiq5rsm0,0.31,3.19,241
321,v0300fg10000cdub1cjc77u5ssrg10ng,0.31,9.69,326
322,v0200fg10000cdq6fibc77udgkqi19e0,0,10,80
323,v0200fg10000cdq6fibc77udgkqi19e0,0,10,80
324,v0200fg10000cdq6fibc77udgkqi19e0,0,2.55,80
325,v0200fg10000cdeg21bc77u3gf4dhr1g,0,10,346
326,v0200fg10000cdeg21bc77u3gf4dhr1g,0,10,346
327,v0200fg10000cdeg21bc77u3gf4dhr1g,0,10,346
328,v0200fg10000cdeg21bc77u3gf4dhr1g,0,10,346
329,v0d00fg10000cbs6vprc77u378qkgu2g,1.22,8.77,319
330,v0d00fg10000cdmoi8bc77u6q8l8j4ng,0,10,359
331,v0d00fg10000cdmoi8bc77u6q8l8j4ng,0,10,359
332,v0d00fg10000cdmoi8bc77u6q8l8j4ng,0,10,359
333,v0d00fg10000cdmoi8bc77u6q8l8j4ng,0,10,359
334,v0d00fg10000cdmoi8bc77u6q8l8j4ng,0,10,359
335,v0300fg10000c567fg3c77u43qeh90mg,0,3.98,342
336,v0d00fg10000cd3pgs3c77ublcl53tr0,0,10,346
337,v0d00fg10000cd3pgs3c77ublcl53tr0,0,10,346
338,v0d00fg10000cd3pgs3c77ublcl53tr0,0,10,346
339,v0d00fg10000cd3pgs3c77ublcl53tr0,0,10,346
340,v0d00fg10000cd3pgs3c77ublcl53tr0,0,10,346
341,v0d00fg10000ce3fncbc77u1670928a0,0,10,342
342,v0d00fg10000ce3fncbc77u1670928a0,0,10,342
343,v0d00fg10000ce3fncbc77u1670928a0,0,10,342
344,v0200fg10000ca7rl3rc77u71hjfar1g,4.65,10,235
345,v0200fg10000ca7rl3rc77u71hjfar1g,0,6.38,235
346,v0200fg10000cckr283c77u2bpu9fu0g,0,10,346
352,v0200fg10000cddp7jjc77u02n4rh5u0,3.57,6.43,240
353,v0200fg10000cd77lo3c77udnv93lfsg,0,3,312
354,v0300fg10000ce86t53c77uencreokc0,2.63,5.04,10
355,v0d00cea0000c0ofgfa4kuevmaom1ol0,0,10,81
356,v0d00cea0000c0ofgfa4kuevmaom1ol0,0,10,81
357,v0d00cea0000c0ofgfa4kuevmaom1ol0,0,10,81
358,v0d00cea0000c0ofgfa4kuevmaom1ol0,0,10,81
359,v0d00cea0000c0ofgfa4kuevmaom1ol0,0,10,81
360,v0300fg10000c4ovvbbc77uaea3kop2g,0,10,359
361,v0300fg10000c4ovvbbc77uaea3kop2g,0,10,359
362,v0200fg10000cdphue3c77u94c0mpe1g,0,10,346
363,v0200fg10000cdphue3c77u94c0mpe1g,0,10,346
364,v0200fg10000cdphue3c77u94c0mpe1g,0,9.96,346
365,v0d00fg10000cccbg3bc77u1rkgc85cg,4.37,9.77,310
366,v0200fg10000cdbrlhjc77udo7n65p40,0,10,346
367,v0200fg10000cdbrlhjc77udo7n65p40,0,10,346
368,v0200fg10000cdbrlhjc77udo7n65p40,0,10,346
369,v0200fg10000cdbrlhjc77udo7n65p40,0,10,346
370,v0d00fg10000cc509arc77uamrrjpupg,3.75,6.26,319
372,v0300fg10000cblif8bc77u9ua3ef3g0,3.06,6.95,310
373,v0200fg10000cdu2nkjc77ucjsuledkg,0,10,360
374,v0200fg10000cdu2nkjc77ucjsuledkg,0,10,360
375,v0200fg10000cdu2nkjc77ucjsuledkg,0,10,360
376,v0300fg10000ce1hcv3c77u602pn9c5g,0,10,84
377,v0300fg10000ce1hcv3c77u602pn9c5g,0,10,84
378,v0200fg10000c6i3do3c77ufj9adn720,0,10,49
379,v0200fg10000c6i3do3c77ufj9adn720,0,10,49
380,v0200fg10000c6i3do3c77ufj9adn720,0,10,49
381,v0d00fg10000ccp6d4rc77uec1i5tufg,2.69,10,19
382,v0d00fg10000ccp6d4rc77uec1i5tufg,0,7.31,19
384,v0200fg10000cdn5b63c77ucs28d8ivg,0.03,9.97,342
385,v0200fg10000cdk41b3c77ucp3rkl9v0,0,10,319
386,v0200fg10000cdk41b3c77ucp3rkl9v0,0,8.59,319
387,v0200fg10000cdq8vbjc77uco4eih8ng,0,8.53,397
388,v0d00fg10000c6cr84bc77u7t7ivnjr0,0,10,78
389,v0d00fg10000c6cr84bc77u7t7ivnjr0,0,10,78
390,v0200fg10000cbucd3rc77udch7u0g20,4.16,10,235
391,v0200fg10000cbucd3rc77udch7u0g20,0,5.84,235
393,v0200fg10000c3hbcujc77ucofnh3hjg,0.12,10,397
394,v0d00fg10000cc48ubbc77ua99qfu26g,0,10,307
395,v0200fg10000c95vqsjc77u3jo6r3dng,5.78,9.98,312
396,v0200fg10000cds6gabc77ua9t511g7g,2.26,10,342
397,v0300fg10000cc9hma3c77u14svouh90,6.15,10,343
398,v0300fg10000cc9hma3c77u14svouh90,0,9.98,343
399,v0200fg10000ce3j24bc77u3uhqo2qj0,0,10,397
400,v0200fg10000c6insk3c77ucdb11el70,0.74,10,319
401,v0200fg10000c6insk3c77ucdb11el70,0,10,319
402,v0200fg10000c6insk3c77ucdb11el70,0,10,319
403,v0200fg10000c6insk3c77ucdb11el70,0,9.25,319
404,v0d00fg10000cdnm3s3c77u2camrhvog,0,6.04,78
406,v0300cg10000ca9vsajc77udi8hujeig,0,10,118
407,v0200fg10000c809lrbc77u4eloie8c0,1.19,10,312
408,v0200fg10000c809lrbc77u4eloie8c0,0,9.18,312
409,v0d00fg10000c77582bc77u3ddb35rp0,1.23,8.77,20
410,v0d00fg10000cc9i1ojc77ubjbare1d0,0,3.52,100
411,v0d00fg10000c8thk5jc77u2bqsv33e0,7.2,10,13
412,v0d00fg10000c8thk5jc77u2bqsv33e0,0,10,13
413,v0d00fg10000c8thk5jc77u2bqsv33e0,0,10,13
414,v0d00fg10000c8thk5jc77u2bqsv33e0,0,10,13
415,v0d00fg10000c8thk5jc77u2bqsv33e0,0,10,13
416,v0d00fg10000c8thk5jc77u2bqsv33e0,0,10,13
417,v0d00fg10000c8thk5jc77u2bqsv33e0,0,10,13
418,v0d00fg10000c8thk5jc77u2bqsv33e0,0,8.63,13
419,v0d00fg10000cclgts3c77udm0cq8o3g,0,10,337
420,v0d00fg10000cclgts3c77udm0cq8o3g,0,10,337
421,v0300fg10000ccmff83c77u31lquuke0,3.56,10,343
422,v0300fg10000ccmff83c77u31lquuke0,0,10,343
423,v0300fg10000ccmff83c77u31lquuke0,0,9.99,343
424,v0300fg10000cc44adbc77u9os2snn50,1.99,5.06,307
425,v0d00fg10000c7gl75bc77u7vdvg9qi0,0,10,342
426,v0d00fg10000c8mbf73c77u24s9opqqg,0,10,346
428,v0d00fg10000ca262erc77u56v2bv8t0,0,5.55,397
429,v0200fg10000cdn1n03c77udh6spb08g,0.01,10,48
430,v0200fg10000cdn1n03c77udh6spb08g,0,9.99,48
431,v0200fg10000cdiss03c77u5tmh8iecg,0,10,4
432,v0200fg10000cdiss03c77u5tmh8iecg,0,10,4
433,v0200fg10000cdiss03c77u5tmh8iecg,0,10,4
434,v0200fg10000cdiss03c77u5tmh8iecg,0,10,4
435,v0200fg10000cdiss03c77u5tmh8iecg,0,10,4
436,v0300fg10000ce21pjjc77u7iek6lpag,0,10,80
437,v0200fg10000cap8gv3c77u21leetijg,2.24,10,342
438,v0200fg10000cap8gv3c77u21leetijg,0,10,342
439,v0200fg10000cap8gv3c77u21leetijg,0,10,342
440,v0200fg10000cap8gv3c77u21leetijg,0,10,342
441,v0200fg10000cap8gv3c77u21leetijg,0,9.99,342
442,v0200fg10000cddl86bc77ua35kcf6rg,0,10,105
444,v0300fg10000cblkch3c77u8hfdn2690,0,10,326
445,v0300fg10000cblkch3c77u8hfdn2690,0,10,326
446,v0300fg10000cblkch3c77u8hfdn2690,0,10,326
447,v0200fg10000c978iorc77uf0823i5m0,1.69,10,322
448,v0200fg10000c978iorc77uf0823i5m0,0,10,322
449,v0200fg10000c978iorc77uf0823i5m0,0,10,322
450,v0200fg10000c978iorc77uf0823i5m0,0,8.32,322
451,v0200fg10000caeflvrc77uestg86iog,1.4,7.11,310
453,v0200fg10000cdrkni3c77ub72qjcnt0,0.06,9.73,310
454,v0d00fg10000cdcviqrc77uerfd4n7s0,2.97,10,319
455,v0d00fg10000cdcviqrc77uerfd4n7s0,0,8.26,319
458,v0200fg10000cdtm1vrc77u13s8rhfgg,0.11,8.81,20
459,v0200cg10000c2gidnjg7gpla2fq3mkg,2.24,7.75,60
460,v0d00fg10000cd9slabc77u2hrsjifb0,1.58,10,13
461,v0d00fg10000cd9slabc77u2hrsjifb0,0,7.91,13
462,v0d00fg10000cdo9qarc77udh82nfmh0,0.82,10,326
463,v0200fg10000c8jihljc77u8fq90jhj0,3.79,6.21,312
464,v0300fg10000c9j7j5jc77u3suueu7tg,0,5.89,306
465,v0300fg10000cdbmlvbc77u39ouiqnb0,5.22,9.83,19
466,v0200fg10000cdqnc03c77u9kailckrg,0.75,10,359
467,v0200fg10000cdqnc03c77u9kailckrg,0,10,359
468,v0200fg10000cdqnc03c77u9kailckrg,0,9.24,359
469,v0d00fg10000cdib803c77uc29r8tu90,0.01,10,342
470,v0d00fg10000cdhkm9rc77ububmumc50,1.87,8.67,319
471,v0200fg10000ce0uoljc77u9l36fa8a0,1.34,10,322
472,v0200fg10000ce0uoljc77u9l36fa8a0,0,8.66,322
473,v0d00fg10000ccfcmfbc77u3pmrgbdrg,6.33,10,32
474,v0d00fg10000ccfcmfbc77u3pmrgbdrg,0,10,32
475,v0d00fg10000ccfcmfbc77u3pmrgbdrg,0,9.99,32
476,v0300fg10000c92mjjrc77u14gtie5r0,4.52,10,326
477,v0300fg10000c92mjjrc77u14gtie5r0,0,10,326
478,v0200fg10000canvl33c77u8a26c6ul0,0.02,10,397
479,v0200fg10000canvl33c77u8a26c6ul0,0,10,397
