sample_id,category_name,onset,offset,label
0A0xlHVADkw,Church bell,2,6,8
aMqrOEG5AxE,Church bell,0,10,8
4vjDR_uDA-Q,Church bell,0,10,8
FMlIzLuIGzw,Church bell,0,10,8
Puo5cNcwawA,Church bell,0,10,8
LV4ueNAZVrM,Church bell,0,10,8
4c0uLxgFiVc,Church bell,0,10,8
WW8Scmk5YsM,Church bell,0,10,8
4akybxlJ67I,Church bell,0,10,8
LZYidtJoWO8,Church bell,1,10,8
LVfwQqtcSfw,Church bell,0,6,8
pkdMwCqjtzw,Church bell,0,10,8
eLJ-1bzHleU,Church bell,0,9,8
gtqH0ghizQo,Church bell,0,10,8
v-fC_-v8gj0,Church bell,0,10,8
1mOHH9xPSRI,Church bell,0,10,8
MCINU6Rb75E,Church bell,5,10,8
ovlSmajJXxc,Church bell,0,10,8
XtayTXu581w,Church bell,0,10,8
1_4j6VRHZAw,Church bell,0,5,8
Qocj8lVXvWA,Church bell,0,10,8
e_5ngCwYckE,Church bell,0,10,8
3IQHzT5O89g,Church bell,0,10,8
rAk7tyXYIU8,Church bell,0,7,8
Zlwu4AROYzg,Church bell,0,10,8
nUo8RVTx_d4,Church bell,0,10,8
Gavpgq1WWh4,Church bell,0,2,8
IW-EBHnhHAI,Church bell,0,10,8
oM5CRdBtKao,Church bell,0,10,8
9U3n8WVLTKQ,Church bell,0,10,8
oKkx_7snEP8,Church bell,0,10,8
qMZ1nj4fDas,Church bell,0,10,8
88pXcwZowhM,Church bell,0,10,8
QPXMFPTuxJM,Church bell,0,10,8
b63av9FMnMA,Church bell,0,10,8
otz4AffLKKA,Church bell,0,3,8
cjhDu8BokA0,Church bell,0,10,8
i5DOcfr2h18,Church bell,0,10,8
aMacjQ9_4FY,Church bell,0,10,8
fbjHO8McLxk,Church bell,0,10,8
HE6-xn3yROY,Church bell,0,10,8
V8jbmbQk0yI,Church bell,0,10,8
RmnYpN3XxXw,Church bell,0,10,8
iXpsqeezqJg,Church bell,0,10,8
7DbsH87BZHs,Church bell,7,10,8
MQLRFWXq8MY,Church bell,0,10,8
2GhLSOPjGMA,Church bell,0,10,8
80TUHi-3QuI,Church bell,0,10,8
Rnc4N2vVoV8,Church bell,0,10,8
aAM11PIFB4I,Church bell,0,10,8
Sqgc73hM6kA,Church bell,0,8,8
LUio86WKdfc,Church bell,0,10,8
tr-C-X-GOXk,Church bell,0,10,8
Rar7ZLJbxO8,Church bell,0,10,8
kXsp1e7LuvA,Church bell,0,10,8
JYtxd-8D6OU,Church bell,0,10,8
Tc1822d78oA,Church bell,0,10,8
g74_yD24iks,Church bell,0,10,8
-J2WJaG1Dd4,Church bell,0,10,8
g4yvlYbG1Mg,Church bell,0,10,8
D-1zfO68xNg,Church bell,4,7,8
frml0pfb_Jk,Church bell,0,10,8
HeZr6sKmSgM,Church bell,0,10,8
e0vkDOf20AU,Church bell,0,10,8
dS8UpWyUilQ,Church bell,0,10,8
f8uli6eFAss,Church bell,0,10,8
dVeOxT3fT8c,Church bell,4,10,8
GEJqlH0mCX8,Church bell,2,10,8
3uDl8Uyu-Fc,Church bell,0,10,8
aCFSsc8Q4So,Church bell,0,10,8
oCYJZmi--QQ,Church bell,0,10,8
7KKnsh4AkQk,Church bell,2,5,8
g55aHorM9fc,Church bell,0,10,8
uYB1VQ52h6s,Church bell,0,10,8
FuKgspEtMTo,Church bell,4,10,8
MH3m4AwEcRY,Church bell,6,8,8
A7L1ppU17Is,Church bell,0,10,8
d88slBelHe8,Church bell,0,10,8
TEAHz5kw8dM,Church bell,0,10,8
b3AAWs6-uas,Church bell,0,10,8
eRF4KAXdn0w,Church bell,6,10,8
gjCew0Kp0iM,Church bell,0,10,8
3ABx8xzQcs4,Church bell,2,10,8
C6PT_vPExmc,Church bell,0,10,8
0I_WwkebbeM,"Male speech, man speaking",0,10,17
-ccciEuH9FE,"Male speech, man speaking",5,10,17
-ccciEuH9FE,"Male speech, man speaking",5,10,10
0PGdsvvYLag,"Male speech, man speaking",7,10,17
0KRqW2_b2wI,"Male speech, man speaking",1,10,17
00N83yxKYUI,"Male speech, man speaking",0,5,17
00N83yxKYUI,"Male speech, man speaking",0,5,10
0FJMXT1NJQM,"Male speech, man speaking",6,10,17
08IBKf1jJQ8,"Male speech, man speaking",3,6,17
-UCPBAWhQAM,"Male speech, man speaking",6,10,17
0RrXwp-m6uY,"Male speech, man speaking",7,10,17
0779k0IOxkw,"Male speech, man speaking",0,6,17
0779k0IOxkw,"Male speech, man speaking",0,6,10
-AVfxHm4Y9A,"Male speech, man speaking",0,10,17
0LJrMyxxxfo,"Male speech, man speaking",5,10,17
-Yus8Ut2fUE,"Male speech, man speaking",7,10,17
-Jnhn1NE54g,"Male speech, man speaking",0,4,17
-3jhHgFEUp4,"Male speech, man speaking",6,10,17
-EsCFzhpfCI,"Male speech, man speaking",4,10,17
-H6BJfRqeno,"Male speech, man speaking",3,9,17
-vx9zMc57AU,"Male speech, man speaking",2,10,17
-GSCu896zWQ,"Male speech, man speaking",0,10,17
0MWno7YOWK4,"Male speech, man speaking",5,8,17
0dOhn114Xng,"Male speech, man speaking",4,10,17
0pe9Azqa3N8,"Male speech, man speaking",6,10,17
0GUjeQgnxq0,"Male speech, man speaking",2,7,17
-2mdF47kZ2o,"Male speech, man speaking",0,6,17
0rv-EVSEUUU,"Male speech, man speaking",0,9,17
04pxOCRZfhg,"Male speech, man speaking",0,3,17
0RoAsnTIm5Q,"Male speech, man speaking",1,5,17
-tbgjodN-EU,"Male speech, man speaking",0,10,17
0zPU4mw3bvY,"Male speech, man speaking",0,10,17
0I9Vt2x71d8,"Male speech, man speaking",5,10,17
0qvQIuQoODo,"Male speech, man speaking",1,4,17
0qvQIuQoODo,"Male speech, man speaking",1,4,10
-v9k87jYE0Q,"Male speech, man speaking",7,9,17
00AoQ3PeETk,"Male speech, man speaking",0,2,17
-pi6fEexydo,"Male speech, man speaking",3,5,17
0duq5feaxqY,"Male speech, man speaking",2,8,17
-TCDqe327us,"Male speech, man speaking",0,4,17
-TCDqe327us,"Male speech, man speaking",0,4,10
0wVM3uHLbfE,"Male speech, man speaking",0,10,17
14S_r3opEFY,"Male speech, man speaking",0,10,17
17PmRIJG9BQ,"Male speech, man speaking",3,10,17
0vjGsf9FLgE,"Male speech, man speaking",0,10,17
-mstarcmomw,"Male speech, man speaking",1,10,17
-XmzKGZUnA4,"Male speech, man speaking",2,10,17
0BhWZstb-Ns,"Male speech, man speaking",0,8,17
0Glu5tCvIo0,"Male speech, man speaking",8,10,17
-n4MmiWZnGc,"Male speech, man speaking",5,10,17
-N0eWDX5v8Y,"Male speech, man speaking",0,3,17
0rpm7fu8kOA,"Male speech, man speaking",0,3,17
15pI-cO__lE,"Male speech, man speaking",0,10,17
0mwUH8lRgFc,"Male speech, man speaking",3,10,17
-qesxG4nu14,"Male speech, man speaking",1,10,17
-oxIb4pGuh4,"Male speech, man speaking",2,6,17
17gznXK9h44,"Male speech, man speaking",1,10,17
-j9TbKCJMwI,"Male speech, man speaking",7,10,17
-ogkuDwDw_s,"Male speech, man speaking",7,10,17
0fLBygmve-E,"Male speech, man speaking",0,10,17
-J_mFjrsMlo,"Male speech, man speaking",3,10,17
0RnOTiwvgK4,"Male speech, man speaking",0,10,17
-FdpRMw2CYs,"Male speech, man speaking",0,10,17
06OCI6Yo7a0,"Male speech, man speaking",1,10,17
0FF2Dm9GMDE,"Male speech, man speaking",1,10,17
17tdWaF8VdA,"Male speech, man speaking",0,8,17
0BV2NBQzQ5A,"Male speech, man speaking",0,5,17
0zz6Hz52uHs,"Male speech, man speaking",0,3,17
0rCdk2iMHSQ,"Male speech, man speaking",1,4,17
018WshwFA94,"Male speech, man speaking",2,10,17
-RlKkB4IcwE,"Male speech, man speaking",0,10,17
0PS5dpjl7Vk,"Male speech, man speaking",0,10,17
-4p4mZRIJ1s,"Male speech, man speaking",7,10,17
-JDu_58J-vY,"Male speech, man speaking",0,10,17
--HuBNHXu9I,"Male speech, man speaking",0,10,17
0Bq0HyHm6_8,"Male speech, man speaking",0,10,17
0z5DjT0a860,"Male speech, man speaking",0,10,17
0Te4VzJujsw,"Male speech, man speaking",4,10,17
-BQU6akf0qQ,"Male speech, man speaking",0,5,17
0BtXs8pJmOg,"Male speech, man speaking",7,10,17
0f7iF3vw50Y,"Male speech, man speaking",0,3,17
-q4HLzyMUxc,"Male speech, man speaking",0,9,17
-nJIexRFfVQ,"Male speech, man speaking",7,10,17
-JZQwilSX9k,"Male speech, man speaking",1,8,17
-t03ktje7jE,"Male speech, man speaking",0,10,17
-NhJg_6k9CU,"Male speech, man speaking",0,10,17
0EJFXZmK4LM,"Male speech, man speaking",1,10,17
04Q-e-iNVi8,"Male speech, man speaking",1,7,17
-oLwINFIPQs,"Male speech, man speaking",0,8,17
0-aEZiPFkzE,"Male speech, man speaking",0,7,17
-s3-Hnlvr3c,"Male speech, man speaking",3,10,17
-wRJDykO59w,"Male speech, man speaking",2,5,17
-YpRG5qEj-A,"Male speech, man speaking",0,10,17
0-tUz87_uLU,"Male speech, man speaking",0,10,17
17AsI52QIx8,"Male speech, man speaking",4,10,17
03tTdPYjDbI,"Male speech, man speaking",0,10,17
0teEyWmhLj4,"Male speech, man speaking",0,9,17
-LvLoYGVfX4,"Male speech, man speaking",5,7,17
0HGsJff6DOo,"Male speech, man speaking",3,10,17
-lyM-5oOCjI,"Male speech, man speaking",0,10,17
-QmzOJHDwH8,"Male speech, man speaking",0,10,17
0doFG6PA1vs,"Male speech, man speaking",0,4,17
0MosKyMBihk,"Male speech, man speaking",0,10,17
0qPqcZFmwEQ,"Male speech, man speaking",0,10,17
00vW6hUFKRQ,"Male speech, man speaking",3,10,17
-_TT79lrHvU,"Male speech, man speaking",0,10,17
-3rT1s94s3c,"Male speech, man speaking",1,5,17
0Qt3f3Mj2Gs,"Male speech, man speaking",6,10,17
-oQdrnUIhVw,"Male speech, man speaking",4,7,17
-tmrgIt90mA,"Male speech, man speaking",0,10,17
0g_yL-_a0k8,"Male speech, man speaking",7,10,17
0wl59FGpEIw,"Male speech, man speaking",0,10,17
-1UcysYcIKg,"Male speech, man speaking",0,10,17
11RPJloKKWw,"Male speech, man speaking",1,10,17
-DynYB9o5yg,"Male speech, man speaking",1,4,17
0giAfYq9oVM,"Male speech, man speaking",3,9,17
0JDc79hZo5k,"Male speech, man speaking",6,10,17
-W_RCk7aPOg,"Male speech, man speaking",1,10,17
-q_9x5bLKyM,"Male speech, man speaking",6,10,17
0Gr7r7oTlqo,"Male speech, man speaking",0,10,17
-hChcJAh5N0,"Male speech, man speaking",5,10,17
-9R4WPSKE3Q,"Male speech, man speaking",0,10,17
-9R4WPSKE3Q,"Male speech, man speaking",0,10,10
-ipvocZCWjs,"Male speech, man speaking",3,8,17
0jK24ewcIdE,"Male speech, man speaking",0,10,17
0X_M1R4YwP4,"Male speech, man speaking",0,10,17
0MekMqiPc3A,"Male speech, man speaking",0,2,17
-2xvB13pgTY,"Male speech, man speaking",0,7,17
-E-Bd2J7Efo,"Male speech, man speaking",2,10,17
0_p7OHdHpiM,"Male speech, man speaking",0,5,17
-v_0rhBaWfQ,"Male speech, man speaking",5,10,17
0SbjiZgDK-M,"Male speech, man speaking",2,4,17
03Uae8NuzNE,"Male speech, man speaking",0,10,17
-eF_bRS5kP0,"Male speech, man speaking",2,10,17
16z_7p3kOQw,"Male speech, man speaking",0,10,17
-sWYVL21pew,"Male speech, man speaking",5,10,17
0yjCNGc9Nrs,"Male speech, man speaking",3,10,17
0nqBKZrV_4o,"Male speech, man speaking",0,2,17
0i24WckNCeE,"Male speech, man speaking",3,10,17
0i24WckNCeE,"Male speech, man speaking",3,10,10
0Jm6aODb5JQ,"Male speech, man speaking",0,10,17
0SLli-eh_Dw,"Male speech, man speaking",5,9,17
092mHVjlvaM,"Male speech, man speaking",0,6,17
-tw8rn9BZ7o,"Male speech, man speaking",0,10,17
-dqRTbErvlU,"Male speech, man speaking",7,10,17
131FX2gFLiE,"Male speech, man speaking",0,6,17
0NYUK2Ba3eA,"Male speech, man speaking",0,4,17
13FuRK9C3Yc,"Male speech, man speaking",0,10,17
-nJBHEz-3ls,"Male speech, man speaking",0,6,17
7KSXUptBBYQ,Bark,1,7,4
N-UeTwaW5UQ,Bark,6,10,4
M7hcb2v2Z_0,Bark,0,10,4
CULZ1SLVGss,Bark,3,5,4
As5Pqpb3fsg,Bark,0,4,4
DRSiR-dkmU8,Bark,0,6,4
FsTXNxD8M2A,Bark,7,9,4
B9C0Op7MmkM,Bark,2,6,4
FVIFuRVAF5U,Bark,3,5,4
L19JIkJveBA,Bark,0,3,4
Joa_c5pYD7Y,Bark,5,10,4
077_m7wNT3I,Bark,0,10,4
7jUSEnnh5Ew,Bark,0,10,4
EIy5p1Xdgxs,Bark,0,7,4
MXBgLjHZcHA,Bark,4,6,4
2xobBryGD3A,Bark,0,6,4
2_ljDKHdv6g,Bark,4,8,4
N4QGTrobCxs,Bark,0,3,4
HdOeLKqorQU,Bark,3,10,4
03LzjpuHPT0,Bark,0,10,4
-nvJc7KvBJ8,Bark,4,10,4
2R8c_BR_kSQ,Bark,0,3,4
FM23Hwa0JxI,Bark,0,7,4
1uSavuICk1M,Bark,0,10,4
2Pdig-LaQo0,Bark,0,5,4
KibkO30TIGQ,Bark,0,10,4
E_1Asfq8it4,Bark,0,3,4
6e0_dUsCsVU,Bark,1,10,4
652KFi0iYBc,Bark,0,10,4
LyUDAW2U9Z8,Bark,6,10,4
FUDwqBG3YaQ,Bark,4,7,4
J3_Q0qL3raQ,Bark,0,10,4
FIzJB8UAB7s,Bark,0,2,4
2QKUFwKvRbA,Bark,0,10,4
MkJuGDph-1k,Bark,5,10,4
8VFNMp5K9zM,Bark,6,8,4
Hdu21U_FVs8,Bark,6,10,4
8ElyGpd6vcM,Bark,0,10,4
-P6nEMyReaE,Bark,0,6,4
9De2rgypTfo,Bark,2,10,4
C1EZ_2Fm1O4,Bark,8,10,4
J_lweeqInQo,Bark,0,10,4
6IiL4MF0Z0s,Bark,4,10,4
36xzrUTlmKw,Bark,3,10,4
CTwZONeLVrM,Bark,4,10,4
3KALVyKRScs,Bark,0,2,4
8B0fnWSFtyQ,Bark,0,4,4
JJAwEOQr7Co,Bark,3,8,4
BaT_gnccoF4,Bark,0,10,4
I89oTOuj1Ew,Bark,2,10,4
1H2XD5lUp8w,Bark,0,10,4
MpMwOWkg1u4,Bark,7,10,4
4gyda6wcww0,Bark,6,10,4
3mV_kzIAfb8,Bark,0,6,4
7a-SlB-TV9o,Bark,0,10,4
J0p_joNdGe0,Bark,0,10,4
KgKMe6oIkJc,Bark,0,10,4
F3AsQHJE5E0,Bark,8,10,4
0kTHgSzQkfw,Bark,5,8,4
5C2Ogf7efdU,Bark,0,6,4
Ao4ls4kFejw,Bark,0,10,4
E0IxV6UEqZ8,Bark,0,9,4
NDsC25x_gUI,Bark,4,10,4
MM9O504q7Zc,Bark,5,10,4
5eMCEnwZkcY,Bark,0,10,4
1wJoXRIRBfI,Bark,3,5,4
EvHgP6eSPxo,Bark,0,10,4
3iYj8V-OxJM,Bark,5,10,4
K6F1sogt46U,Bark,7,10,4
84Fw-jojR6E,Bark,0,5,4
6o8Iq_QBZoQ,Bark,5,10,4
-9YohOxYZ0Q,Bark,2,8,4
JBFvyolYWfA,Bark,8,10,4
CNxIeasZD74,Bark,0,4,4
12lHWBzDR9E,Bark,0,10,4
NOy1JrCodP8,Bark,1,10,4
BWPAtch_Xvg,Bark,0,10,4
Az3L_C6lAN0,Bark,3,5,4
Lj3XXQvlbRg,Bark,0,6,4
BJkDuJ2Q3uo,Bark,3,8,4
HeLXU0sydjA,Bark,6,10,4
MWFQerde_h8,Bark,8,10,4
DuYDDdcT-DM,Bark,2,10,4
B6kHGmBYycY,Bark,0,4,4
Eytilpo3UhE,Bark,0,4,4
J-Igx1Ucy-Y,Bark,4,6,4
8gYX8XhEOyg,Bark,0,4,4
CZVMFTPG_RE,Bark,1,10,4
6IKre5MZpAQ,Bark,7,10,4
NeWW30WZjPc,Bark,0,10,4
3xbAoVtkinI,Bark,3,6,4
5pSsC39eUHw,Bark,0,10,4
3k06yhK3sfk,Bark,0,7,4
IXAL71JiSAI,Bark,1,7,4
3nWeAosWK40,Bark,6,10,4
E0sj3IDKZME,Bark,2,8,4
F2qTJjE0pUc,Bark,1,10,4
7Hn6I8Sxr2c,Bark,0,10,4
GmetnCLxFHE,Bark,2,10,4
7MWwLEBjki8,Bark,4,10,4
K-VceyH2f6c,Bark,0,10,4
BHdi8AH1McE,Bark,1,10,4
-5rnGk2e1ao,Bark,7,10,4
0eaVWAwYCyU,Bark,5,10,4
8Jil7lxOl3w,Bark,2,10,4
CTMn3L0C5kI,Bark,1,10,4
8x8WnIpPisw,Bark,0,5,4
5KEPA_ORiVI,Bark,2,4,4
DxXFfGtu2zQ,Bark,1,7,4
2uRe-e8RVEM,Bark,3,5,4
Iwz2CW1hsVI,Bark,6,10,4
-XZsrkx1QTg,Bark,2,10,4
BhO04bUXL54,Bark,6,8,4
5-xKnAigQnA,Bark,1,10,4
I-1qF2Aa-uQ,Bark,0,3,4
H_bgPn81rww,Bark,7,9,4
L1wGG8KdOIw,Bark,2,9,4
6Flj55tSIQE,Bark,1,3,4
8C3AADRMw-4,Bark,2,10,4
4AYySiliYAw,Bark,0,10,4
4AYySiliYAw,Bark,0,10,14
1KZ0cJhqmW4,Bark,2,6,4
DAa3RlRYqus,Bark,0,10,4
6ExUE6V95Tw,Bark,0,4,4
LPmkUnCv6ow,Bark,0,10,4
4xW7mL-QIQw,Bark,0,6,4
Hbbfhs4R31c,Bark,3,6,4
0pxLE0wNx-I,Bark,4,10,4
JnvJwrYVeJA,Bark,6,10,4
-84CyEpynsY,Bark,0,5,4
B24WpHI9NBE,Bark,0,10,4
LEcrcFHKb-I,Bark,1,10,4
CalrtHAXuqs,Bark,7,10,4
BKRWEAYxHg0,Bark,0,10,4
E1FHRl3Qv_o,Bark,0,6,4
5hoASlZuPeQ,Bark,5,10,4
2QhjPJv7ido,Bark,1,7,4
HA9yvpvCI7o,Bark,8,10,4
8zL4trFJ1LY,"Fixed-wing aircraft, airplane",0,10,11
0ws3LwMB9ns,"Fixed-wing aircraft, airplane",0,10,11
JY26Uaws4DI,"Fixed-wing aircraft, airplane",0,10,11
6VDVoRwopWE,"Fixed-wing aircraft, airplane",0,4,11
Cvq5cPBfeRI,"Fixed-wing aircraft, airplane",0,10,11
8laqrpkzTKU,"Fixed-wing aircraft, airplane",0,10,11
GqFSNyW1Iis,"Fixed-wing aircraft, airplane",0,10,11
Dzu7hVtOiFM,"Fixed-wing aircraft, airplane",0,9,11
KLjwk9s6XsQ,"Fixed-wing aircraft, airplane",0,10,11
8DxT_XyaT9w,"Fixed-wing aircraft, airplane",3,7,11
G_R-8h08GKk,"Fixed-wing aircraft, airplane",4,10,11
AAd3ZzKX1kg,"Fixed-wing aircraft, airplane",0,10,11
Fc266wAbj_4,"Fixed-wing aircraft, airplane",0,10,11
1dGmguC1hJk,"Fixed-wing aircraft, airplane",0,10,11
Ip9JKi2ffg8,"Fixed-wing aircraft, airplane",0,10,11
1AfXFAf3trQ,"Fixed-wing aircraft, airplane",0,10,11
BRQVmM6fSak,"Fixed-wing aircraft, airplane",0,6,11
-8MpVkOt4Hk,"Fixed-wing aircraft, airplane",2,10,11
-iAUOrx_4Hw,"Fixed-wing aircraft, airplane",2,10,11
J8DZ-gyauXg,"Fixed-wing aircraft, airplane",0,10,11
KIFXOrj3lp0,"Fixed-wing aircraft, airplane",0,10,11
4cuwf0Sq7lE,"Fixed-wing aircraft, airplane",5,10,11
DynoOMg9Mvw,"Fixed-wing aircraft, airplane",0,10,11
Cu-W6A6FRPc,"Fixed-wing aircraft, airplane",0,10,11
1Co8vdldU2A,"Fixed-wing aircraft, airplane",0,10,11
5Xy6dks_Zjw,"Fixed-wing aircraft, airplane",0,10,11
5Mo7W3FN6ms,"Fixed-wing aircraft, airplane",0,10,11
5_Gi8Bv8wZE,"Fixed-wing aircraft, airplane",0,10,11
HNm214SkJPM,"Fixed-wing aircraft, airplane",8,10,11
5-I8cdKmRCc,"Fixed-wing aircraft, airplane",0,10,11
8vkOYo3ha1Y,"Fixed-wing aircraft, airplane",0,10,11
3bZhLPACkUc,"Fixed-wing aircraft, airplane",0,10,11
C7aKHANH3Sc,"Fixed-wing aircraft, airplane",0,10,11
2xF7HatK22k,"Fixed-wing aircraft, airplane",0,10,11
C3q2vSaKlHM,"Fixed-wing aircraft, airplane",0,10,11
DO6HpMTSkF4,"Fixed-wing aircraft, airplane",0,10,11
ACNFqxv_A0Q,"Fixed-wing aircraft, airplane",0,10,11
B58-khpq9Qs,"Fixed-wing aircraft, airplane",2,5,11
G5dYqqk97dI,"Fixed-wing aircraft, airplane",3,10,11
2DsqCMYTVOQ,"Fixed-wing aircraft, airplane",3,10,11
8q5l9_OSl_A,"Fixed-wing aircraft, airplane",0,10,11
IuiGNyXXZaE,"Fixed-wing aircraft, airplane",0,10,11
55k2oh0wtug,"Fixed-wing aircraft, airplane",0,10,11
49ugTlJOSlc,"Fixed-wing aircraft, airplane",0,10,11
2coSAx95GQU,"Fixed-wing aircraft, airplane",0,10,11
3sV2UltJaKk,"Fixed-wing aircraft, airplane",1,10,11
FlIOhn_oQLM,"Fixed-wing aircraft, airplane",0,10,11
4nFtdiPKmZ0,"Fixed-wing aircraft, airplane",0,10,11
EtwTPin7I1Q,"Fixed-wing aircraft, airplane",0,10,11
-6oO5OktZVk,"Fixed-wing aircraft, airplane",0,10,11
DBKdnHyDp5U,"Fixed-wing aircraft, airplane",0,10,11
66_1TQ1FsT4,"Fixed-wing aircraft, airplane",0,10,11
FQpo_whik1o,"Fixed-wing aircraft, airplane",0,10,11
BCzr2lsLulY,"Fixed-wing aircraft, airplane",1,10,11
0vWh6Knoer8,"Fixed-wing aircraft, airplane",7,10,11
0rOrlLPYRzQ,"Fixed-wing aircraft, airplane",5,10,11
12jPv5y32w0,"Fixed-wing aircraft, airplane",0,10,11
-Mb3QaClyJI,"Fixed-wing aircraft, airplane",0,10,11
CN0m9JCu4qA,"Fixed-wing aircraft, airplane",0,8,11
5j9AJOlOzJI,"Fixed-wing aircraft, airplane",5,10,11
EtdNyMsl1f4,"Fixed-wing aircraft, airplane",0,10,11
CNB87LiLXso,"Fixed-wing aircraft, airplane",8,10,11
Ie2KkAvU1zU,"Fixed-wing aircraft, airplane",0,10,11
5BRITqoxrJ4,"Fixed-wing aircraft, airplane",0,10,11
AdovQEX-Jco,"Fixed-wing aircraft, airplane",0,10,11
-ZxXzLFFqAA,"Fixed-wing aircraft, airplane",0,10,11
DRJL6tJFS98,"Fixed-wing aircraft, airplane",1,10,11
FPIVRAQI9Ao,"Fixed-wing aircraft, airplane",0,10,11
5qRMgTBO9NU,"Fixed-wing aircraft, airplane",5,7,11
8bOXqESYb8o,"Fixed-wing aircraft, airplane",0,10,11
-7hEpq9YLs8,"Fixed-wing aircraft, airplane",0,10,11
E9jM9yUBZew,"Fixed-wing aircraft, airplane",4,9,11
H9zD1nVSw9g,"Fixed-wing aircraft, airplane",0,10,11
D8C_w71_4KY,"Fixed-wing aircraft, airplane",0,10,11
I-KEgJSZ4c8,"Fixed-wing aircraft, airplane",0,10,11
CI6A-TGvlRo,"Fixed-wing aircraft, airplane",0,10,11
7633eW447cg,"Fixed-wing aircraft, airplane",0,10,11
EY3fFSkPbaA,"Fixed-wing aircraft, airplane",0,10,11
Es0nAaj9eaA,"Fixed-wing aircraft, airplane",0,10,11
6qupraZ3Nag,"Fixed-wing aircraft, airplane",4,10,11
40RKegr9zk8,"Fixed-wing aircraft, airplane",0,10,11
1Qdk6W5OaVo,"Fixed-wing aircraft, airplane",0,10,11
6cc_-n_lKiA,"Fixed-wing aircraft, airplane",0,10,11
HTJLR3jbYTg,"Fixed-wing aircraft, airplane",0,10,11
7brboN4nzcE,"Fixed-wing aircraft, airplane",0,10,11
21BlW-li2Q4,"Fixed-wing aircraft, airplane",0,4,11
0QPmJcB7MZU,"Fixed-wing aircraft, airplane",0,10,11
2NRNCVQRJWs,"Fixed-wing aircraft, airplane",0,10,11
CtdG32YHaTA,"Fixed-wing aircraft, airplane",0,10,11
HQ6bw3Eou1U,"Fixed-wing aircraft, airplane",0,10,11
1xKLPsJx7E0,"Fixed-wing aircraft, airplane",0,10,11
BTVyXZR_iHM,"Fixed-wing aircraft, airplane",0,10,11
-SuOK31Shjo,"Fixed-wing aircraft, airplane",0,10,11
-Kj41tZzwUk,"Fixed-wing aircraft, airplane",0,10,11
